organization_code,deployment_code,project_code,site_code,deployment_device_codes,deployment_platform_type_code,deployment_water_depth_m,deployment_datetime,deployment_latitude,deployment_longitude,deployment_vessel,deployment_cruise,deployment_alias,deployment_json,deployment_comments,recovery_datetime,recovery_latitude,recovery_longitude,recovery_vessel,recovery_cruise,recovery_surface_datetime,recovery_burn_datetime,recovery_json,recovery_comments,parent_deployment_code
SWFSC,SWFSC_ORE_20230413_ADRIFT_060,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5991,HTI_856136,HTI_856145,satellite-tracker_SO-865,depth-sensor_17438",drifting_buoy,NA,2023-04-13T06:45:00Z,43.8128,-124.7406667,R/V Pacific Storm,ADRIFT,NA,NA,NA,2023-04-16T18:28:00Z,43.35256,-124.56476,R/V Pacific Storm,ADRIFT,NA,NA,NA,NA,NA
SWFSC,SWFSC_ORE_20230413_ADRIFT_061,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5994,HTI_856138,HTI_856151,satellite-tracker_SO-588,depth-sensor_17439",drifting_buoy,NA,2023-04-13T05:15:00Z,43.8833,-124.6160333,R/V Pacific Storm,ADRIFT,NA,NA,NA,2023-04-16T19:02:59Z,43.39276,-124.47833,R/V Pacific Storm,ADRIFT,NA,NA,NA,NA,NA
SWFSC,SWFSC_ORE_20230426_ADRIFT_062,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5296,HTI_856163,HTI_856171,satellite-tracker_SO-533,depth-sensor_17434",drifting_buoy,NA,2023-04-26T03:45:00Z,45.07783333333333,-124.3935,R/V Pacific Storm,ADRIFT,NA,NA,NA,2023-04-29T05:15:00Z,45.1584,-124.5925,R/V Pacific Storm,ADRIFT,NA,NA,NA,NA,NA
SWFSC,SWFSC_ORE_20230426_ADRIFT_063,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5986,HTI_856159,HTI_856177,satellite-tracker_SO-692,depth-sensor_17435",drifting_buoy,NA,2023-04-26T03:04:59Z,45.158166666666666,-124.39683333333332,R/V Pacific Storm,ADRIFT,NA,NA,NA,2023-04-29T21:15:00Z,45.385,-124.5665,R/V Pacific Storm,ADRIFT,NA,NA,NA,NA,NA
SWFSC,SWFSC_ORE_20230426_ADRIFT_064,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5991,HTI_856136,HTI_856145,satellite-tracker_SO-865,depth-sensor_17438",drifting_buoy,NA,2023-04-26T02:25:00Z,45.2415,-124.39933333333332,R/V Pacific Storm,ADRIFT,NA,NA,NA,2023-04-29T20:35:00Z,45.40716667,-124.4928333,R/V Pacific Storm,ADRIFT,NA,NA,NA,NA,NA
SWFSC,SWFSC_ORE_20230426_ADRIFT_065,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5994,HTI_856138,HTI_856151,satellite-tracker_SO-588,depth-sensor_17439",drifting_buoy,NA,2023-04-26T01:50:00Z,45.3245,-124.402,R/V Pacific Storm,ADRIFT,NA,NA,NA,2023-04-29T07:15:00Z,45.2014,-124.2783333,R/V Pacific Storm,ADRIFT,NA,NA,NA,NA,NA
SWFSC,SWFSC_SFB_20230508_ADRIFT_067,SWFSC_ADRIFT_2021-2023,SFB,"SoundTrap_6668,HTI_856158,HTI_856172,satellite-tracker_SO-506,depth-sensor_16656",drifting_buoy,NA,2023-05-08T04:18:00Z,37.80117,-123.38492,R/V Shimada,ACCESS,NA,NA,NA,2023-05-12T01:46:00Z,37.43115,-123.47074,R/V Shimada,ACCESS,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20230507_ADRIFT_068,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5992,HTI_856155,HTI_856166,satellite-tracker_SO-001,depth-sensor_16546",drifting_buoy,NA,2023-05-07T00:25:00Z,40.8272,-124.539467,F/V Scrimshaw,ADRIFT,NA,NA,NA,2023-05-09T16:08:00Z,41.01357,-124.57364,F/V Scrimshaw,ADRIFT,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20230507_ADRIFT_070,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5984,HTI_856156,HTI_856167,satellite-tracker_SO-798,depth-sensor_16396",drifting_buoy,NA,2023-05-07T00:59:00Z,40.827433,-124.64165,F/V Scrimshaw,ADRIFT,NA,NA,NA,2023-05-09T17:30:00Z,40.8005,-125.02851,F/V Scrimshaw,ADRIFT,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20230507_ADRIFT_071,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_8025,HTI_856162,HTI_856168,satellite-tracker_SO-638,depth-sensor_16408",drifting_buoy,NA,2023-05-07T01:17:00Z,40.8274,-124.6979,F/V Scrimshaw,ADRIFT,NA,NA,NA,2023-05-09T17:59:47Z,40.76916,-125.09938,F/V Scrimshaw,ADRIFT,NA,NA,NA,NA,NA
